valor,area_primeiro_andar,existe_segundo_andar,area_quintal,dist_metro,dist_parque
1042500,79.52,1,23.86,1.639,3.039
907500,117.24,0,35.17,1.538,10.91
1117500,85.47,1,25.64,1.275,11.791
700000,89.28,1,21.07,1.223,10.877
1250000,106.37,1,31.91,0.868,11.247
715000,73.95,1,22.19,4.353,7.069
1535000,157.38,0,46.99,0.946,12.2
1000000,102.84,1,30.85,1.087,1.533
649500,94.95,1,26.53,1.422,12.24
590000,100.06,0,27.62,3.06,13.368
647500,96.62,0,28.99,3.437,1.67
1725000,109.81,1,32.75,0.352,14.061
720000,84.73,0,25.42,3.053,14.259
1397500,138.8,0,41.64,1.199,5.695
785000,116.41,0,34.92,2.475,5.332
660000,79.34,0,23.19,1.545,11.752
745000,93.27,0,27.98,1.831,3.854
450000,120.4,0,0.0,6.768,3.498
795000,103.49,0,31.05,4.619,0.119
695000,124.4,0,28.68,3.013,5.858
1626500,107.58,1,32.27,0.903,9.769
697000,102.94,0,17.75,1.698,14.486
1150000,166.76,0,49.53,0.67,3.952
649500,98.48,0,28.99,3.311,14.385
770000,98.48,0,29.54,4.914,8.776
1281500,148.64,0,43.65,0.668,13.616
674000,83.61,0,25.08,3.185,12.452
1530000,158.31,0,47.49,0.548,3.246
1037500,148.64,0,41.36,4.695,10.08
342500,48.31,0,14.49,6.811,10.248
200000,60.29,1,18.09,7.421,10.011
746750,114.08,0,34.23,4.459,6.537
899500,114.64,0,34.39,0.768,11.829
827500,157.94,0,38.96,4.946,8.926
1387500,145.02,0,43.51,0.314,3.697
1545000,105.17,1,31.13,0.776,12.776
725000,101.91,0,30.57,4.659,13.793
765000,120.5,0,36.15,4.237,4.321
545000,98.2,0,29.46,4.723,7.275
410000,107.02,0,0.0,6.732,9.929
800000,123.0,0,30.32,2.557,13.633
850000,123.38,0,37.63,3.092,2.773
720000,82.13,0,23.41,3.456,8.755
651250,87.14,0,26.14,3.579,14.559
705000,106.84,0,32.05,3.16,9.527
1599500,162.77,0,48.83,0.27,11.042
1198430,141.03,1,39.97,1.101,11.849
1248500,153.85,0,46.15,0.639,8.1
565000,68.38,1,20.51,6.907,5.058
635000,88.72,0,26.62,3.73,9.265
885000,73.76,1,22.13,2.055,8.395
572500,75.81,0,22.74,1.814,5.806
550000,75.81,0,22.74,3.534,4.708
1925000,171.13,0,51.34,0.481,6.082
650000,126.35,0,10.7,4.296,7.77
902500,132.39,0,39.72,2.414,11.661
862500,91.32,1,27.03,0.586,12.393
982500,79.9,1,23.97,1.729,13.466
2193900,132.48,1,39.3,0.116,10.121
624500,72.46,0,21.74,3.759,4.535
790000,107.58,0,32.27,2.984,0.185
505000,53.98,1,14.77,4.28,13.73
1012500,127.28,0,38.18,0.778,11.006
700000,83.8,1,16.05,1.685,2.65
1097500,98.2,1,29.46,1.843,8.19
1585000,106.19,1,31.86,0.888,7.909
900000,205.04,0,54.26,1.229,0.791
1130000,137.4,0,40.5,1.032,3.061
400000,69.4,0,20.82,5.946,14.028
1125000,121.15,1,36.34,1.268,13.059
1220000,206.52,0,61.96,1.211,3.306
647500,78.5,0,23.55,7.829,11.554
925000,82.22,1,23.19,1.876,10.887
724500,100.89,0,30.27,3.629,2.694
537000,78.04,1,23.41,9.311,1.71
455000,48.87,1,12.88,6.187,9.335
678750,88.44,0,26.53,7.744,4.068
635000,99.59,1,18.73,3.918,5.338
682500,164.25,0,49.28,5.795,9.696
550000,63.36,1,12.26,3.493,10.112
967500,109.81,1,24.97,2.342,11.482
767500,124.21,0,34.48,1.894,8.955
1225000,145.21,0,43.56,0.792,5.672
632500,98.94,0,29.68,4.796,1.175
842500,74.69,1,10.7,1.399,2.596
1300000,120.87,1,35.9,0.61,3.7
870000,63.55,1,19.06,2.996,8.354
822500,56.86,1,17.06,2.264,11.081
425000,94.11,0,28.23,8.182,10.418
618000,91.97,0,27.59,5.141,6.458
549500,96.62,0,0.0,5.329,14.11
493000,114.74,0,34.42,4.255,6.609
817500,89.56,0,24.41,4.584,10.985
669500,117.06,1,33.84,2.133,9.659
1023750,84.08,1,22.97,1.595,10.236
925000,63.17,1,18.95,2.072,7.674
1070000,147.53,0,44.26,1.996,8.631
473750,89.19,0,26.76,6.587,10.812
415000,77.57,0,12.76,4.942,3.256
644750,113.81,0,26.48,7.582,12.183
1025000,149.57,0,44.87,1.517,13.22
890000,90.77,1,20.65,2.581,1.659
594820,142.61,0,0.0,4.363,3.774
994500,113.9,0,34.17,1.537,4.483
847500,113.9,1,28.99,1.267,2.321
1250000,97.83,1,29.35,0.82,2.96
500000,97.27,0,17.87,5.335,9.98
575000,73.3,0,21.99,3.87,2.722
575000,92.62,1,22.1,3.907,12.2
950000,171.31,0,51.39,2.931,14.242
684500,112.97,1,27.7,2.814,6.628
900000,71.91,1,10.7,1.263,8.567
1919850,119.1,1,35.23,1.501,7.638
1085000,209.87,0,50.42,1.768,5.811
1297500,133.41,1,28.65,2.869,7.359
880000,67.73,1,20.32,2.806,3.719
695000,101.45,0,30.44,3.597,9.116
775000,104.52,0,31.35,4.278,4.517
1600000,157.84,1,46.63,1.609,3.035
819950,67.63,1,20.29,1.729,3.922
900000,91.79,0,26.14,2.644,6.778
500000,71.72,1,20.4,6.618,14.025
680000,100.34,0,30.1,2.668,9.37
769500,111.39,0,33.42,2.296,14.731
905000,147.34,0,37.96,1.501,6.611
422500,48.31,0,14.49,1.986,4.647
640000,89.0,0,30.04,1.529,10.949
435000,78.04,0,18.73,4.858,10.381
775000,61.32,1,18.39,2.818,1.998
750000,97.83,0,28.09,4.663,6.468
1130000,112.97,1,25.75,1.308,4.8
1220000,94.95,1,27.65,1.587,4.798
753750,123.28,0,29.63,4.756,5.263
1100000,120.4,0,35.31,0.973,14.114
900000,159.89,0,40.72,3.171,14.891
870000,156.26,0,36.34,1.486,8.818
715000,112.78,0,33.84,3.138,4.248
855000,182.0,0,53.15,1.761,1.136
1150000,93.27,1,27.98,0.883,2.12
1157500,86.21,1,25.86,1.693,5.172
575000,80.27,0,24.08,6.426,9.999
1300000,161.09,0,48.33,1.55,9.769
830000,84.54,1,25.36,3.53,14.56
1020000,139.45,0,41.53,1.872,12.495
625000,160.54,0,48.16,3.846,0.135
650000,90.12,1,27.03,1.818,10.433
525000,81.29,0,19.93,4.079,7.221
1112500,82.13,1,24.64,1.73,11.195
705000,100.34,0,30.1,1.201,3.58
575000,83.24,1,24.97,3.623,14.671
610000,90.02,0,27.01,4.99,1.32
1862010,158.86,0,47.66,0.825,9.647
950000,101.91,1,22.99,2.157,5.935
1175000,116.31,0,44.65,2.276,12.21
625000,111.48,0,33.45,1.682,3.011
395000,53.14,1,15.94,1.837,14.673
547500,96.62,0,0.0,3.676,1.045
1347500,71.91,1,21.57,0.794,11.293
1274500,92.07,1,27.62,1.23,10.849
1600000,129.32,1,38.8,1.22,8.103
812500,114.46,0,34.34,1.606,3.443
2062500,146.04,1,43.81,0.389,6.35
1100000,143.16,0,42.95,1.229,7.253
516000,81.94,0,24.58,7.716,3.976
760000,106.75,1,32.02,2.789,3.254
637500,75.07,1,17.95,3.142,12.794
950000,173.45,0,45.07,3.476,8.694
1628120,149.57,1,44.09,0.834,4.791
917500,78.04,1,23.41,1.214,9.756
1140000,158.59,0,46.99,0.566,9.861
642500,79.34,0,20.07,4.871,10.272
1075000,153.85,0,30.1,2.357,9.184
1195000,98.85,1,29.65,1.473,9.181
815000,126.53,0,37.96,2.677,2.555
920000,153.38,0,44.76,2.711,5.211
1215000,200.48,0,33.5,1.786,13.085
1055000,108.14,1,32.08,1.645,9.107
862500,116.31,1,29.32,3.862,4.123
2509185,207.55,0,61.76,0.327,6.509
500000,89.93,0,26.98,3.934,7.418
885000,71.44,1,21.07,2.594,10.916
1000500,83.71,1,22.1,1.673,13.05
600000,124.49,0,0.0,4.968,12.262
1000000,126.53,1,37.96,1.098,1.653
635000,86.96,1,14.05,3.805,2.162
2375000,141.03,1,30.85,0.134,12.06
865000,113.06,0,33.11,1.862,3.16
675000,75.07,1,18.39,3.497,2.487
766685,113.71,0,30.27,3.38,10.177
1430000,147.99,0,44.4,0.724,9.754
1575000,143.91,1,23.77,0.711,2.337
920000,67.35,1,20.21,1.279,8.933
960000,132.94,0,39.88,1.25,14.526
650000,90.12,1,27.03,1.923,2.967
635000,80.27,0,24.08,3.886,11.626
742500,79.43,1,23.83,2.792,9.179
1559360,160.35,0,48.11,1.55,3.383
1175000,126.35,1,37.9,0.525,14.85
520000,86.31,1,21.04,2.999,11.314
1374500,159.14,0,47.74,0.918,6.312
700000,104.14,0,31.24,7.907,13.438
857500,118.82,0,33.33,2.89,2.458
560000,80.36,1,17.2,2.773,14.501
745000,78.78,0,23.63,1.749,12.794
550000,66.89,1,20.07,3.971,2.624
902500,133.97,0,39.69,1.214,13.815
719500,157.56,0,31.77,3.802,0.178
705000,102.19,0,30.66,5.176,13.805
1385000,109.63,1,32.25,1.379,4.941
725000,101.45,0,30.44,2.978,11.338
490000,80.27,0,24.08,3.53,11.916
930000,112.6,0,33.78,2.676,5.876
1263390,86.59,1,25.08,1.455,1.49
780000,91.97,0,27.59,3.846,1.199
808750,64.01,1,19.2,2.936,8.093
672250,114.83,0,29.82,4.991,8.672
1050000,133.41,0,40.02,1.556,2.75
535000,75.25,1,19.12,7.155,9.833
1557500,105.63,1,22.24,1.155,1.73
836200,115.94,0,34.78,1.297,7.693
1024500,139.17,0,41.75,1.969,8.149
1000000,93.83,1,28.15,2.369,3.85
899500,75.34,1,19.87,2.313,1.571
485000,80.27,0,24.08,7.244,13.642
1931250,222.22,0,66.67,0.106,12.934
560000,58.53,1,17.56,4.168,9.234
1450000,112.78,1,33.53,1.503,1.411
530000,44.87,1,13.46,2.779,8.355
625000,84.73,0,25.42,3.315,11.926
962500,144.46,0,38.27,1.961,11.739
740000,110.93,0,33.28,1.62,10.639
2015000,138.43,1,40.75,0.593,1.554
472500,44.87,1,13.46,2.393,9.097
641000,83.06,0,24.92,4.35,4.257
1082500,79.9,1,23.97,1.853,14.811
447500,44.87,1,13.46,1.68,1.153
927500,131.36,0,39.41,1.89,4.118
